id,unique_,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country_id
NULL,asd,NULL,#loc+name,NULL,#adm1+name,#adm2+name,#geo+lat,#geo+lon,NULL,NULL
421107,2569,4,Donetsk oblast,the territory of the Donetsk People's Republic.,Donetsk oblast,NULL,48.14,37.74,199156,369
376174,2570,2,Horlivka town,"concentrated near Donetsk, Horlivka, Zolote disengagement area, and east of Mariupol",Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
376175,2571,2,Donetsk town,"concentrated near Donetsk, Horlivka, Zolote disengagement area, and east of Mariupol",Donetsk oblast,Donetsk City municipality,48,37.805278,199156,369
344392,2572,1,Spartak village,"Spartak (nongovernment-controlled, 9km north of Donetsk)",Donetsk oblast,Yasynuvata raion,48.080536,37.768553,199156,369
344046,2573,1,Sakhanka village,village of Sakhanka,Donetsk oblast,Novoazovsk raion,47.128548,37.860607,197716,369
421108,2574,4,Donetsk oblast,the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
421110,2575,4,Donetsk oblast,the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
343816,2576,2,Marinka town,"near Maryinka, Donetsk Obl",Donetsk oblast,Marinka raion,47.941669,37.504218,198436,369
350718,2577,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
344110,2578,4,Donetsk oblast,Donetsk oblast,Donetsk oblast,NULL,48.14,37.74,199156,369
344118,2579,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
344119,2580,2,Luhanske village,near Slavne and Luhanske,Donetsk oblast,Artemivsk raion,48.45253,38.245772,199157,369
376151,2581,2,Slavne village,near Slavne and Luhanske,Donetsk oblast,Marinka raion,47.834444,37.563333,198436,369
421024,2582,4,Donetsk oblast,the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
349590,2583,2,Shumy village,"near Shumy, Donetsk Obl",Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
349599,2584,1,Avdiivka town,town of Avdiyivka,Donetsk oblast,Avdiivka city municipality,48.145278,37.745,199156,369
349613,2585,1,Oleksandrivka village,"Oleksandrivka
(non-government-controlled, 20km south-west of Donetsk)",Donetsk oblast,Marinka raion,47.921111,37.578056,198436,369
349615,2586,4,Donetsk oblast,"Popasna and Maryinka, and the villages of Orikhove, Novozvanivka, Khutir Vilny, Novotoshkivske, Katerynivka, Novhorodske, Shyrokyne, Pavlopil, Novomykhailivka, and Starohnativka",Donetsk oblast,NULL,48.14,37.74,199156,369
349640,2587,5,Donets Basin Area,NULL,NULL,NULL,48.15,38.65,199158,369
350711,2588,2,Starohnativka town,"near Starohnativka, Donetsk Obl",Donetsk oblast,Telmanove raion,47.539797,37.778796,198436,369
349584,2589,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
349641,2590,4,Donetsk oblast,the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
349642,2591,1,Zhovanka village,"Zhovanka, a government-controlled area of Zaitseve (50km northeast of Donetsk).",Donetsk oblast,Horlivka City municipality,48.403048,38.006531,199157,369
349668,2592,2,Zaitseve village,near the village of Zaitseve,Donetsk oblast,Horlivka City municipality,48.41955,38.032433,199157,369
349670,2593,2,Slavne village,near Slavne,Donetsk oblast,Marinka raion,47.834444,37.563333,198436,369
349686,2594,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
349687,2595,5,Donets Basin Area,NULL,NULL,NULL,48.15,38.65,199158,369
349688,2596,1,Shumy village,NULL,Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
349689,2597,1,Pavlopil village,NULL,Donetsk oblast,Telmanove raion,47.261586,37.784176,197716,369
349690,2598,5,Donets Basin Area,NULL,NULL,NULL,48.15,38.65,199158,369
390397,2599,5,Donets Basin Area,Donets Basin area (according to map),NULL,NULL,48.15,38.65,199158,369
354371,2600,2,Vodyane village,"near Vodiane, Donetsk Obl",Donetsk oblast,Yasynuvata raion,48.097688,37.664988,199156,369
354373,2601,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
359075,2602,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
390411,2603,5,Donets Basin Area,Donets basin area (according to map),NULL,NULL,48.15,38.65,199158,369
366894,2604,2,Verkhnotoretske town,"near Verkhnietoretske [Upper Toretske], Luhansk Obl.",Donetsk oblast,Yasynuvata raion,48.223333,37.871944,199156,369
366895,2605,2,Novhorodske town,"near Novhorodske, Donetsk Obl",Donetsk oblast,Dzerzhynsk raion,48.3269,37.84683,199156,369
366327,2606,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
390406,2607,5,Donets Basin Area,Donets Basin area (according to map),NULL,NULL,48.15,38.65,199158,369
366845,2608,1,Vodyane village,Vodiane,Donetsk oblast,Yasynuvata raion,48.097688,37.664988,199156,369
372088,2609,1,Horlivka town,"Shakhta 6/7 area located on the north-western edge of Horlivka (nongovernment-controlled, 39km north-east of Donetsk).",Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
371807,2610,4,Donetsk oblast,NULL,Donetsk oblast,NULL,48.14,37.74,199156,369
372061,2611,2,Horlivka town,near Donetsk and Gorlovka,Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
372062,2612,2,Donetsk town,near Donetsk and Gorlovka,Donetsk oblast,Donetsk City municipality,48,37.805278,199156,369
420062,2613,4,Donetsk oblast,on the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
371806,2614,2,Avdiivka town,near Avdiyivka,Donetsk oblast,Avdiivka city municipality,48.145278,37.745,199156,369
372076,2615,1,Leninske village,village of Leninskoye,Donetsk oblast,Novoazovsk raion,47.143329,37.853466,197716,369
420059,2616,4,Donetsk oblast,on the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
374267,2617,2,Azov village,Dzerzhinskoye settlement and Leninskoye settlement,Donetsk oblast,Novoazovsk raion,47.156944,37.862222,197716,369
379607,2618,5,Donets Basin Area,"Where unclear, combat only happens in donetsk and luhansk, representation point chosen.",NULL,NULL,48.15,38.65,199158,369
379578,2619,4,Donetsk oblast,in the war zone (Donetsk Obl),Donetsk oblast,NULL,48.14,37.74,199156,369
379213,2620,2,Pisky village,near the village of Pisky in Donetsk region,Donetsk oblast,Yasynuvata raion,48.06693,37.66642,199156,369
379491,2621,2,Hnutove village,in the area of the settlement of Hnutove,Donetsk oblast,Mariupol City municipality,47.21027,37.75273,197716,369
379494,2622,4,Donetsk oblast,shelling of the self-proclaimed Donetsk People’s Republic (DPR) killed one,Donetsk oblast,NULL,48.14,37.74,199156,369
379616,2623,1,Staromykhailivka town,"Staromikhaylovka town, Donetsk oblast",Donetsk oblast,Marinka raion,48.00026,37.588384,199156,369
385255,2624,5,Donets Basin Area,Donbas Conflict Zone,NULL,NULL,48.15,38.65,199158,369
402783,2625,4,Donetsk oblast,"territory
controlled by the self-proclaimed ‘Donetsk people’s republic’",Donetsk oblast,NULL,48.14,37.74,199156,369
379512,2626,2,Shumy village,"near the village of Shumy, Donetsk Oblast",Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
384821,2627,2,Marinka town,in the area of Maryinka,Donetsk oblast,Marinka raion,47.941669,37.504218,198436,369
384826,2628,2,Viktorivka village,"in the area of Viktorivka, Donetsk region",Donetsk oblast,Starobesheve raion,47.63509,37.80831,198436,369
384837,2629,2,Zaitseve village,in the direction of Horlivka; near the village of Zaitseve,Donetsk oblast,Horlivka City municipality,48.41955,38.032433,199157,369
384843,2630,2,Novomykhailivka village,near the village of Novomykhaylivka,Donetsk oblast,Marinka raion,47.853324,37.484174,198435,369
384853,2631,2,Novoluhanske village,near the village of Novoluganske,Donetsk oblast,Artemivsk raion,48.42631,38.171074,199157,369
385031,2632,1,Horlivka town,at the settlement Gagarina Mine in Gorlovka’s western suburb,Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
414478,2633,4,Donetsk oblast,Donetsk oblast,Donetsk oblast,NULL,48.14,37.74,199156,369
385036,2634,2,Avdiivka town,in the Avdiyivka area; near Shakhta Butivka,Donetsk oblast,Avdiivka city municipality,48.145278,37.745,199156,369
385040,2635,2,Svitlodarsk town,near Svitodarsk,Donetsk oblast,Artemivsk raion,48.435297,38.220482,199157,369
385048,2636,4,Donetsk oblast,in the village of Leninskoye in the south of the DPR,Donetsk oblast,NULL,48.14,37.74,199156,369
385050,2637,4,Donetsk oblast,the villages of Oktyabr and the settlement of Trudovskaya Mine,Donetsk oblast,NULL,48.14,37.74,199156,369
385053,2638,2,Pyshchevyk village,near the village of Pischevik,Donetsk oblast,Novoazovsk raion,47.242,37.7925,197716,369
390377,2639,5,Donets Basin Area,in east/in Donbas conflict zone,NULL,NULL,48.15,38.65,199158,369
402772,2640,4,Donetsk oblast,"territory
controlled by the self-proclaimed ‘Donetsk people’s republic’.",Donetsk oblast,NULL,48.14,37.74,199156,369
402777,2641,5,Donets Basin Area,"Government controlled territory, Donbass",NULL,NULL,48.15,38.65,199158,369
389855,2642,4,Donetsk oblast,No location given,Donetsk oblast,NULL,48.14,37.74,199156,369
389857,2643,4,Donetsk oblast,No location given,Donetsk oblast,NULL,48.14,37.74,199156,369
389858,2644,4,Donetsk oblast,No exact location given,Donetsk oblast,NULL,48.14,37.74,199156,369
389861,2645,2,Starohnativka town,near Starohnativka; at Starohnativka,Donetsk oblast,Telmanove raion,47.539797,37.778796,198436,369
389871,2646,2,Marinka town,not far from the village of Maryinka; near Maryinka,Donetsk oblast,Marinka raion,47.941669,37.504218,198436,369
389867,2647,4,Donetsk oblast,Exact location unknown,Donetsk oblast,NULL,48.14,37.74,199156,369
390361,2648,4,Donetsk oblast,Donetsk Obl,Donetsk oblast,NULL,48.14,37.74,199156,369
420052,2649,4,Donetsk oblast,on the territory of the Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
389875,2650,2,Pivdennyy village,near the settlement of Pivdenne,Donetsk oblast,Artemivsk raion,48.555278,37.816111,199876,369
389879,2651,2,Vodyane village,near Vodiane in Donbas,Donetsk oblast,Yasynuvata raion,48.097688,37.664988,199156,369
390370,2652,2,Shumy village,near Shumy,Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
389886,2653,4,Donetsk oblast,in northern Donetsk,Donetsk oblast,NULL,48.14,37.74,199156,369
389882,2654,1,Oleksandrivka village,"Alexandrovka, west of Donetsk",Donetsk oblast,Marinka raion,47.921111,37.578056,198436,369
389890,2655,2,Shumy village,near the village of Shumy,Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
396640,2656,4,Donetsk oblast,in territory controlled by the self-proclaimed ‘Donetsk people’s republic’,Donetsk oblast,NULL,48.14,37.74,199156,369
389906,2657,1,Oleksandrivske village,"in the village of Oleksandrivske; Oleksandrivske, Donetsk region; in non-government-controlled Oleksandrivske (47km north-east of Donetsk),",Donetsk oblast,Shaktarsk raion,48.271998,38.286044,199157,369
420050,2658,4,Donetsk oblast,Donetsk oblast,Donetsk oblast,NULL,48.14,37.74,199156,369
389909,2659,2,Shumy village,near the village of Shumy; at Shumy,Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
396536,2660,1,Artemivsk town,"at Bakhmut, Donetsk Obl",Donetsk oblast,Artemivsk city cunicipality,48.595434,37.994085,199876,369
396535,2661,1,Spartak village,"at Spartak, Donetsk Obl",Donetsk oblast,Yasynuvata raion,48.080536,37.768553,199156,369
395587,2662,5,Donets Basin Area,in Donbas,NULL,NULL,48.15,38.65,199158,369
395613,2663,2,Nevelske village,near the village of Nevelske; at Nevelske,Donetsk oblast,Yasynuvata raion,48.061667,37.574722,199156,369
395615,2664,2,Stepne village,not far from the settlement of Stepne; at Stepne,Donetsk oblast,Volnovakha raion,47.612753,37.135471,198435,369
395632,2665,2,Vodyane village,"not far from the settlements of Pisky and Vodiane, on the Azov Sea; at Vodyane",Donetsk oblast,Yasynuvata raion,48.097688,37.664988,199156,369
401599,2666,1,Starohnativka town,"Starohnativka, Donetsk Obl",Donetsk oblast,Telmanove raion,47.539797,37.778796,198436,369
395643,2667,5,Donets Basin Area,in east [from headline],NULL,NULL,48.15,38.65,199158,369
395645,2668,1,Shumy village,in Ukraine's war-torn east; at Shumy,Donetsk oblast,Kostiantynivka raion,48.380746,37.933087,199156,369
395646,2669,2,Maiorska village,in the area of the settlement of Mayorske; Mayorsk,Donetsk oblast,Horlivka City municipality,48.395599,37.972614,199156,369
