connection_id,source_id,original_id
1547,8278,14
1548,8279,81
1549,8280,82
1550,8281,80
1551,8282,14
1552,8283,81
1553,8284,82
1554,8285,80
1555,8286,14
1556,8287,81
1557,8288,82
1558,8289,80
1559,8290,14
1560,8291,81
1561,8292,82
1562,8293,80
1563,8294,14
1564,8295,81
1565,8296,82
1566,8297,80
1567,8298,14
1568,8299,81
1569,8300,82
1570,8301,80
1571,8302,14
1572,8303,81
1573,8304,82
1574,8305,23
1575,8306,23
1576,8307,23
1577,8308,23
1578,8309,83
1579,8310,84
1580,8311,85
1581,8312,23
1582,8313,23
1583,8314,23
1584,8315,23
1585,8316,23
1586,8317,23
1587,8318,23
1588,8319,23
1589,8320,23
1590,8321,23
1591,8322,23
1592,8324,23
1593,8325,23
1594,8326,23
1595,8327,47
1596,8328,47
1597,8329,23
1598,8330,23
1599,8331,21
1600,8332,86
1601,8333,87
1602,8334,86
1603,8335,87
1604,8336,88
1605,8337,23
1606,8338,23
1607,8339,23
1608,8340,47
1609,8341,47
1610,8342,23
1611,8343,23
1612,8344,23
1613,8345,23
1614,8346,23
1615,8347,23
1616,8348,23
1617,8349,23
1618,8350,434
1619,8351,89
1620,8352,89
1621,8353,90
1622,8354,47
1623,8355,90
1624,8356,47
1625,8357,90
1626,8358,47
1627,8359,35
1628,8360,91
1629,8361,35
1630,8362,91
1631,8363,23
1632,8364,23
1633,8365,23
1634,8366,47
1635,8367,47
1636,8368,23
1637,8369,23
1638,8370,23
1639,8371,92
1640,8372,47
1641,8373,92
1642,8374,47
1643,8375,92
1644,8376,47
1645,8377,93
1646,8378,23
1647,8378,23
1648,8379,23
1649,8379,23
1650,8380,23
1651,8380,23
1652,8381,23
1653,8382,23
1654,8383,47
1655,8384,47
1656,8385,23
1657,8386,23
1658,8387,94
1659,8388,95
1660,8389,23
1661,8390,23
1662,8391,23
1663,8392,23
1664,8393,96
1665,8394,97
1666,8395,97
1667,8396,23
1668,8397,23
1669,8398,23
1670,8399,23
1671,8400,23
1672,8401,23
1674,8403,23
1676,8405,23
1677,8406,23
1678,8407,23
1679,8408,23
1680,8409,23
1681,8410,98
1682,8411,434
1683,8412,99
1684,8413,23
1685,8414,23
1686,8415,23
1687,8416,23
1688,8417,23
1689,8418,23
1690,8419,23
1691,8420,23
1692,8421,23
1693,8422,23
1694,8423,23
1695,8424,23
1696,8425,23
1697,8426,23
1698,8426,23
1699,8427,23
1700,8427,23
1701,8428,23
1702,8429,93
1703,8430,23
1704,8431,23
1705,8432,23
1706,8433,23
1707,8434,23
1708,8435,23
1709,8436,23
1710,8437,23
1711,8438,47
1712,8439,47
1713,8440,23
1714,8441,23
1715,8442,23
1716,8443,23
1717,8444,23
1718,8445,23
1719,8446,23
1720,8447,23
1721,8448,100
1722,8449,23
1723,8450,100
1724,8451,23
1725,8452,100
1726,8453,23
1727,8454,23
1728,8455,101
1729,8456,101
1730,8457,101
1731,8458,102
1732,8459,101
1733,8460,101
1734,8461,101
1735,8462,23
1736,8463,23
1737,8464,23
1738,8465,103
1739,8466,104
1740,8467,105
1741,8468,104
1742,8469,105
1743,8470,104
1744,8471,105
1745,8472,23
1746,8473,23
1747,8474,23
1748,8475,23
1749,8476,23
1750,8477,106
1751,8478,107
1752,8479,23
1753,8480,23
1754,8481,23
1755,8482,23
1756,8483,23
1757,8484,23
1758,8485,23
1759,8486,108
1760,8487,108
1761,8488,23
1762,8489,23
1763,8490,23
1764,8491,23
1765,8492,23
1766,8493,23
1767,8494,23
1768,8495,23
1769,8496,109
1770,8497,23
1771,8498,101
1772,8499,23
1773,8500,23
1774,8501,23
1775,8502,23
1776,8503,23
1777,8504,23
1778,8505,23
1779,8506,23
1780,8507,23
1781,8508,23
1782,8509,23
1783,8510,23
1784,8511,23
1785,8512,23
1786,8513,23
1787,8514,23
1788,8515,23
1789,8516,23
1790,8517,27
1791,8518,110
1792,8519,27
1793,8520,110
1794,8521,111
1795,8522,111
